Probe_Set_ID,Gene_Symbol
6828_at,BUD5
6846_at,YCR061W
6867_at,BPH1
6885_at,SAT4
6907_at,AGP1
6936_g_at,GLK1 
6938_at,YER190C-B 
6939_g_at,YER190C-B 
6940_s_at,YFL067W
6941_s_at,YFL067W
6957_s_at,BUD5 
6958_s_at,HMLALPHA2 
6959_s_at,HMLALPHA1 
7063_at,BSD2
7064_at,CTP1
7067_at,SUL1
7071_s_at,MAL31
7084_at,YPT10
7101_at,SSH1
7102_at,PRP5
7106_at,YBR241C
7127_at,ATG12
7130_g_at,YBR219C 
7161_g_at,KTR3
7172_at,NPL4
7182_at,DTR1
7184_at,YPC1
7217_at,TPS1
7223_at,AGP2
7230_at,YBR139W
7232_at,BMT2
7255_at,MUD1
7269_g_at,NHP6B 
7270_i_at,YBR090C
7276_at,RXT2
7308_at,FIG1
7326_at,UBP14
7330_at,KAP104
7342_at,CDS1
7350_at,CSG2
7358_s_at,HTA1 
7378_s_at,RPL19A 
7379_i_at,LSM2
7383_at,NCL1
7392_at,ACH1
7407_at,COR1
7411_at,PRE7
7429_at,UBP13
7440_at,PTH2
7447_at,ROX3
7452_at,AVT5
7478_s_at,YLL066W-B
7543_at,QCR2
7548_at,YPR196W
7549_g_at,MAL33 
7554_at,ARR3
7564_at,MRP2
7571_at,VPS4
7582_at,GDB1
7584_at,KAR3
7592_at,NCE102
7600_s_at,TPO2 
7632_i_at,RPL11A 
7635_at,FHL1
7639_at,RPN7
7646_at,YPR114W
7688_at,HOS1
7692_at,NOT5
7699_at,VMA13
7716_at,MAK3
7717_at,NHP6A
7718_g_at,NHP6A
7731_at,YME1
7738_at,CSR2
7756_at,AIM45
7763_at,YPR011C
7795_at,CAM1
7803_at,ISM1
7812_at,ATP4
7814_at,GPI2
7824_at,VPS28
7828_at,ALD6
7829_at,MFM1
7831_at,PDR12
7835_at,ATG21
7838_at,MSY1
7845_s_at,RPS6A 
7854_i_at,RPS9A 
7870_at,GDE1
7884_at,FRK1
7900_at,KAP120
7909_at,BEM4
7916_at,PEP4
7920_at,YPL150W
7931_at,RTC6
7946_at,MEX67
7948_at,SRP72
7972_at,SSO1
7980_at,MMT2
8024_at,ATP15
8025_at,MDL2
8030_at,DIP5
8074_s_at,YER190C-B 
8118_i_at,TYW1 
8119_f_at,TYW1 
8138_at,FRE5
8145_s_at,FEX1 
8161_at,PRE10
8177_at,AMF1
8211_at,PMT3
8311_at,DGA1
8322_at,MGM1
8353_at,LIP5
8362_at,GEP3
8387_at,GSP2
8407_at,MTR10
8414_at,PFY1
8417_at,CAT5
8435_at,NUP1
8460_at,ATX2
8471_at,VPS21
8478_at,RPS7A
8501_at,UFE1
8503_at,DFG16
8524_at,ETT1
