Identify_A,Identify_B
Q03860,P09620
P11076,Q03860
Q03860,P19146
P19807,Q03860
P25361,Q03860
P32319,Q03860
P32386,Q03860
Q03860,P32465
Q03860,P35845
P36164,Q03860
P38166,Q03860
Q03860,P38929
P39010,Q03860
Q03860,P40094
P40540,Q03860
P41810,Q03860
P41811,Q03860
Q03860,P46989
P54858,Q03860
Q03687,Q03860
Q03730,Q03860
Q03860,Q03860
Q06815,Q03860
Q07528,Q03860
Q03860,Q12016
Q03860,Q12270
Q92331,Q03860
P38344,Q03862
P10614,Q03880
P41806,Q03880
P54837,Q03880
Q03880,Q05359
P09620,Q03921
Q03921,P19807
Q03921,P32465
Q03921,P38116
Q03921,P38310
P50276,Q03921
Q03921,P53283
Q03687,Q03921
Q03860,Q03921
P31412,Q03956
Q03957,P21304
Q03957,P46675
Q03957,Q06411
P23202,Q04031
Q04052,Q02046
Q04080,P38875
P39012,Q04080
Q04080,P49018
P47131,Q04120
P38882,Q04177
Q04177,P40470
Q04177,P42945
P53276,Q04177
Q04177,Q04305
Q04177,Q06679
P47155,Q04201
P14359,Q04228
Q04228,P53044
Q04228,Q04228
Q12168,Q04228
P38882,Q04305
P53276,Q04305
Q04322,P53751
Q04344,Q04344
Q12462,Q04370
P09620,Q04383
P14359,Q04383
Q04383,P19807
Q04383,P24276
Q04383,P26570
P30605,Q04383
Q04383,P32465
Q04383,P32568
P35735,Q04383
Q04383,P35844
P38623,Q04383
P39719,Q04383
Q04383,P40024
P40260,Q04383
Q04383,P40474
P41811,Q04383
P43621,Q04383
Q04383,P50276
P53049,Q04383
P53283,Q04383
P53388,Q04383
Q04383,P53390
Q04383,P53832
Q02785,Q04383
Q03640,Q04383
Q04383,Q03860
Q06689,Q04383
Q04383,Q07824
Q08967,Q04383
Q12256,Q04383
Q3E772,Q04383
Q04396,P25361
Q04396,P40071
Q04396,Q04396
Q04396,Q12270
P23202,Q04410
P33204,Q04439
Q04439,P36027
Q04439,P37370
P38328,Q04439
P38822,Q04439
Q04439,P40518
Q04439,P53066
Q04439,Q04439
Q12446,Q04439
Q04493,P52553
P33750,Q04500
Q03944,Q04638
Q04651,P39727
P41810,Q04651
Q04651,Q04651
Q12270,Q04651
Q04792,Q04792
Q04839,P39936
Q02884,Q04868
Q04949,P22211
Q04949,P36027
Q04949,P50276
Q04949,P53289
Q02785,Q04949
P10614,Q04969
Q04969,P21825
P38264,Q04969
Q04969,P46965
Q04969,Q06144
Q04991,P32798
Q04991,P38310
Q04991,P38929
P41807,Q04991
P46989,Q04991
Q05022,P21304
P39744,Q05022
Q05022,P40693
Q05022,Q08235
Q05031,P39719
Q05031,Q06144
Q05166,P32500
Q05359,P10614
Q05359,P11076
P17898,Q05359
Q05359,P38264
P38353,Q05359
Q05359,P38694
Q05359,P38902
Q05359,P40350
P40471,Q05359
Q05359,P40540
Q05359,P43621
P53337,Q05359
Q05359,P54837
Q05359,Q03554
Q05359,Q05359
Q05359,Q06144
Q05359,Q08926
Q12450,Q05359
Q99287,Q05359
P25847,Q05471
Q05515,Q03370
Q05521,P09620
Q05521,P38310
P38929,Q05521
Q05521,P39968
P41807,Q05521
Q05521,Q05521
P40470,Q05543
Q08235,Q05543
Q05568,P32445
Q12462,Q05568
P50079,Q05584
Q05611,Q8TGJ2
Q04049,Q05672
Q08281,Q05672
Q05812,Q05812
Q05919,Q06815
Q05933,P22137
P33204,Q05933
P37370,Q05933
P38328,Q05933
P41811,Q05933
Q05933,Q04439
Q05933,Q05933
Q12446,Q05933
Q05933,Q6Q5K6
Q06078,P25635
P33892,Q06098
Q06098,Q03768
Q06137,P38426
Q06137,P38634
Q06137,Q06146
Q06144,P10614
P38264,Q06144
Q06144,P38353
P38694,Q06144
P39543,Q06144
Q06144,P40540
Q06144,P54837
Q02774,Q06144
Q06144,Q04969
Q05031,Q06144
Q05359,Q06144
Q06144,Q06144
Q06144,Q12450
Q05790,Q06147
P38009,Q06151
Q06162,P50094
Q06162,P50095
