From,To
Q12199,TIP41
Q12200,NCR1
P25584,PEX34
Q12038,SRO7
Q12206,WTM2
Q12215,WSC3
Q12220,DIP2
P32590,SSE2
P39976,DLD3
P47039,BNA3
Q02201,OSH6
P32895,PRS1
Q12265,PRS5
P38689,PRS3
P38682,GLO3
Q06096,COG4
Q12277,RRP42
Q12289,CRC1
Q12315,GLE1
Q12324,YVC1
Q05998,THI7
Q12415,TFC7
P38910,HSP10
Q03792,RIM13
Q12434,RDI1
Q12443,RTN2
P39013,END3
Q12447,PAA1
P34221,PTC3
Q12452,ERG27
P38225,FAT1
P38604,ERG7
Q07804,YEH1
Q08215,PEX15
Q12466,TCB1
P35184,SQT1
P38861,NMD3
Q12525,MHT1
Q12675,DNF2
Q12692,HTZ1
Q6WNK7,SUS1
Q92317,NCB2
P40096,BUR6
Q99216,PNO1
Q99260,YPT6
P32864,MRS6
P23301,HYP2
P38791,DYS1
Q03124,RSC9
P32485,HOG1
Q06639,RSC3
P32597,STH1
P47037,SMC3
P32908,SMC1
P40541,IRR1
Q12158,MCD1
Q04264,PDS5
P32334,MSB2
P11792,SCH9
P22141,PRE1
P40303,PRE6
P25043,PUP1
P32379,PUP2
P38624,PRE3
P23638,PRE9
P40302,PRE5
P25451,PUP3
P23639,PRE8
P23724,PRE7
P21243,SCL1
P40029,MXR1
O13559,YRF1-4
P32565,RPN2
O13563,RPN13
O94742,SEM1
P00045,CYC7
P00899,TRP2
P01123,YPT1
P01120,RAS2
Q12383,TRM13
P07286,ALG7
P04046,ADE4
P04387,GAL80
P32450,AUA1
P05085,ARG81
P05373,HEM2
P05374,CHO2
P06100,CDC36
P06244,TPK1
Q04902,SNO4
P06784,STE7
P06786,TOP2
P20051,URA4
P07213,TOM70
P32332,OAC1
P07273,DST1
P07560,SEC4
P07285,TRP4
P31386,ATS1
P06245,TPK2
P08004,CHS1
P07703,RPC40
P47035,NET1
P28000,RPC19
P10964,RPA190
P08536,MET3
P08679,CIT2
P13134,KEX2
P38932,VPS45
Q06810,OPY2
P0CX15,YRF1-7
P53939,NIS1
P0CF34,SDC25
P0CX79,ASP3-4
P09959,SWI6
P10174,COX7
P28496,LAC1
P32340,NDI1
P38751,SHU1
P10963,PCK1
P11433,CDC24
P11632,NHP6A
P07170,ADK1
P12684,HMG2
P12683,HMG1
P12688,YPK1
P38837,NSG1
P12962,CAF20
P43592,FAR7
P13045,GAL3
Q08446,SGT1
P39005,KRE9
P13259,PCT1
P38890,SET5
P13433,RPO41
P13298,URA5
P13517,CAP2
P40209,GAT2
P13574,STE12
P14065,GCY1
P13711,POX1
P28625,YIM1
P34163,TGL1
Q06508,LOA1
P14693,SAM35
P12754,GCD2
P14741,GCN3
P15274,AMD1
P15365,DAL5
P15705,STI1
P15807,MET8
P16370,RPB3
P16467,PDC5
Q07786,SOR2
P16649,TUP1
P14922,CYC8
P17106,CBF1
P17261,ERS1
P17883,SKI3
P22140,EPT1
P18410,SPO7
P42944,GZF3
P19158,IRA2
P19524,MYO2
P19736,PRP9
P32801,ELM1
P19881,PHO13
P19880,YAP1
P38315,YBP1
P20604,SIT4
P20676,NUP1
P21372,PRP5
P21373,UTR1
Q12218,TIR4
P21538,REB1
P33331,NTF2
P21691,SIR1
P22138,RPA135
P22146,GAS1
P23201,SPA2
P23291,YCK1
P23561,STE11
P23900,FPS1
P27476,NSR1
P28007,GAR1
P38801,LRP1
P40040,THO1
Q02825,SEN54
P25045,LCB1
P38615,RIM11
Q12163,NBP2
P14747,CMP2
P25296,CNB1
P36054,RCN1
P25339,PUF4
P25336,MSH3
P25340,ERG4
Q08023,FMP25
P25343,RVS161
P39743,RVS167
P25386,USO1
P25454,RAD51
P53054,YGL262W
P25554,SGF29
Q12157,APC11
P25559,DCC1
P25569,GID7
P25583,KAR4
Q03497,STE20
